0,1,2,3,4
605,2323,1,460.29018,4797.69224
516,5328,1,8108.2229,559.30198
9332,9372,1,4559.34535,4132.81649
5073,7583,1,5340.43164,8984.56338
11,182,1,4839.84592,9437.60546
4088,2305,1,3550.68665,4457.68901
1795,1380,1,1703.90144,7998.13463
9883,1581,1,6820.89855,2249.37227
2908,9531,1,4513.2561,7204.85079
2045,8129,1,3402.99131,9704.29258
1470,3917,1,3683.16705,1213.48748
6465,5105,2,1195.5897,8861.40255
7782,3246,2,6619.42403,3500.78713
385,6376,2,3690.57693,9525.6925
4784,5268,2,3025.23909,2151.42433
9688,269,2,4746.51537,9976.86639
3453,5318,2,1293.72749,2047.55174
325,8963,2,9559.40576,137.85663
7822,6737,2,190.42274,5155.47809
5108,2687,2,4183.96108,6765.53558
6339,7504,2,4047.97213,1877.18521
9813,761,2,1675.85893,5087.83987
14,6521,2,6819.45537,4396.59602
7093,9374,2,7017.67319,6762.34295
9671,4323,2,6780.15178,6593.52325
7553,3716,2,1081.75431,4824.31371
3972,163,3,636.97453,8059.50451
8251,838,3,3519.23878,5801.23635
1619,1982,3,9148.28611,2215.63501
5811,3968,3,9511.7086,9953.68726
8957,3316,3,1400.95651,6541.60399
2438,109,3,9567.61698,9625.80397
3513,6098,3,8865.20871,3391.28877
7924,4544,3,1710.65061,3914.19534
6863,4641,3,5896.25582,8350.55174
3924,3178,4,8908.77927,3104.57768
2387,6645,4,1046.38997,2274.66758
975,4362,4,4696.63519,7613.52205
6696,7592,4,4942.59649,5224.9033
6497,3480,4,6018.12972,5432.82891
272,1898,4,4066.71355,6190.54789
8674,4752,4,2658.55241,4123.18713
7229,4956,4,4782.83078,7661.17402
6342,5149,4,1265.5719,1192.61945
2136,2626,4,5953.67061,2398.39065
4456,1968,4,4716.25886,2324.53519
277,4496,4,741.50886,426.44516
1100,8314,5,7135.8201,6984.55312
6722,163,5,8981.85979,4038.26062
5497,598,5,9909.53066,8201.26899
4272,9745,5,9768.90628,7534.1434
8831,4513,5,9018.92605,7398.89626
9219,350,5,3200.12498,3059.59952
1905,1891,5,3879.54216,5906.75278
5044,650,5,7795.5415,719.49781
4667,7201,5,5308.08227,7807.35725
9406,1418,5,2170.56726,1681.15567
3224,1243,6,9346.44837,5219.76645
6132,9380,6,3906.40404,5044.42742
9052,1277,6,7107.68937,4896.76106
6067,6630,6,1356.72891,7245.79929
9959,561,6,6610.34039,8438.02911
8973,2689,6,2145.70323,7421.53149
4267,8873,6,3245.26982,6541.59895
5895,9703,6,2595.05245,1504.55272
9139,6104,6,9873.73506,1831.94345
5419,5231,6,8813.12853,6849.3475
4264,9566,6,2342.46841,1681.50917
7493,9750,7,147.44095,5174.03954
7792,4352,7,8564.99801,9289.58154
5156,2949,7,9423.07568,4234.13005
8816,2717,7,8487.5879,444.4367
9164,9157,7,7576.39698,6852.21117
3424,6625,7,2583.6698,506.59883
2758,7220,7,6574.9657,6718.22266
4367,4802,7,1479.39799,6552.02855
3323,2905,7,8502.01398,3829.01427
7573,2684,7,6183.13716,4694.60622
8858,6574,7,7331.51146,7748.01512
9678,2750,7,4024.34817,2073.80053
1710,850,7,778.11027,8197.8102
4374,3911,8,9347.41292,816.51176
478,708,8,3084.1921,3942.47762
9738,2967,8,5338.39304,9440.66493
5238,9008,8,9954.83874,5527.28952
1740,1326,8,9562.00732,4252.94097
9256,8120,8,351.07727,7108.763
5214,955,8,6251.64806,3007.50183
5883,9845,8,1497.53653,930.29405
887,369,8,9679.63286,2407.66671
4605,5176,9,5960.05226,7177.58313
3288,1072,9,771.21173,267.96348
3300,323,9,8601.51973,9440.58778
3484,1791,9,5149.11493,7093.53257
5551,3351,9,2931.1251,8317.03732
913,7205,9,645.44537,9240.89892
5659,6621,9,7523.65611,5106.9732
3829,3052,9,2878.6856,4570.83988
9890,8645,9,1915.0222,7781.50002
3933,1395,9,3186.24857,1969.70327
6655,2581,9,2310.67183,3620.76837
6949,2005,9,6810.01556,894.39088
8620,6779,9,2339.31412,5981.10066
335,809,9,679.08033,8266.676
4584,3564,9,2486.05177,4686.33327
9694,6981,10,2496.64962,9156.72583
6183,3177,10,7472.90199,50.9979
8629,8056,10,4825.6923,7983.96086
8915,6389,10,3376.92256,2976.92964
7112,946,10,1279.79867,9755.79104
6577,4932,10,2337.07057,4387.81675
4904,1401,10,7208.32325,3857.65155
6942,9736,10,351.08906,3387.87589
4653,9208,10,5184.8532,9372.17839
4718,1462,10,4961.50012,1685.12076
9962,884,10,8897.75407,1182.25353
595,1843,10,9817.49724,9460.44107
7562,4546,11,4874.23129,5258.2502
3247,9679,11,6021.27849,976.79553
2167,2953,11,296.51612,7832.24831
2812,8483,11,670.55788,1289.12504
6697,2254,11,140.06123,8429.55454
7130,1411,11,3813.9696,3313.87185
9174,7884,11,6260.75529,1910.67406
7521,1367,11,2548.98439,4990.87404
3621,7198,11,7348.83598,9406.50668
8341,1286,12,3303.1255,3901.67924
4005,588,12,9342.8871,9234.67171
9780,1975,12,5802.8104,8171.11489
3505,4687,12,4013.98207,4496.41538
4680,2342,12,4852.14379,8206.34779
7622,8678,12,6059.82508,9263.24403
6502,6959,12,976.51026,1297.50926
4537,5123,12,828.55717,3979.62713
5913,3445,12,7239.98906,1146.95861
5460,4369,12,7316.42643,2599.92725
2330,9614,12,1938.37956,4810.84478
4575,2491,13,4522.13741,7986.93162
3023,5090,13,5849.53585,2167.29882
2108,3400,13,5889.77046,7343.46501
436,7215,13,7771.11162,2561.8502
8496,4576,13,3900.91241,6299.99244
8243,3914,13,7886.49634,3428.52789
3396,5206,13,941.73989,8366.38184
9801,7576,13,5175.49539,7592.52788
7516,8580,14,1632.76226,3514.30113
1951,2121,14,707.3988,7725.23651
3031,6991,14,1142.20273,1141.32134
628,3983,14,5371.35041,9470.98341
3188,3659,14,4546.6304,493.58975
4382,6149,14,5757.99147,3210.94714
9287,7183,14,4871.36798,1471.7769
4862,4751,14,5510.78742,6911.56807
8854,6268,14,6791.34733,1781.05813
5112,2239,14,1973.30703,1172.97012
3742,3564,14,1376.3317,4402.56781
342,2451,14,9482.7321,9916.92221
4669,9141,14,6180.79454,13.62944
1394,3892,14,5043.01945,6716.92989
6231,1107,14,1736.59907,6680.43489
3144,8471,15,7413.14998,5687.90409
6399,4538,15,5774.51467,3750.19131
3819,6201,15,1268.3546,943.25958
5535,4998,15,2344.96949,6757.69885
6268,9328,15,2575.70737,1363.94223
3270,9196,15,5526.60525,2273.88901
5836,5515,16,5557.08122,134.29611
6554,9641,16,7703.29355,7492.88453
5934,5916,16,5395.26083,7657.83377
4306,8428,16,735.88585,7605.72462
368,7682,16,6528.22467,2699.7076
629,1592,16,8386.27064,7060.14947
6604,4618,16,5893.05328,920.21734
3581,2320,16,55.13098,4302.97679
9262,951,16,7050.55615,5349.41158
2282,3441,16,5767.26613,7048.92741
6190,2554,16,3567.00443,4408.8079
2040,7229,16,5802.24652,3937.23943
916,3428,17,83.84935,4289.90534
2859,7216,17,4935.12817,7144.13106
1174,1165,17,2905.27052,3854.93531
9549,3785,17,6559.10091,4184.28546
3007,5847,17,3489.48416,6381.18515
4758,1465,17,7369.66868,4824.24561
4370,8545,17,3501.64628,398.54769
2299,9356,17,5640.36536,8804.16275
607,2019,17,1959.47495,4496.56127
6389,1351,17,6893.3537,9732.43729
6779,1501,17,6164.51657,3484.65743
6497,7045,17,334.05158,1997.60224
9114,1377,18,2409.51024,2062.21356
3747,5987,18,6342.01028,5517.79225
3122,3192,18,2479.74606,4760.64006
4418,1331,18,7734.78765,3419.13629
7401,9732,18,6669.64654,7245.76683
4191,1017,18,4665.57363,5329.67657
9576,8854,18,4951.51614,6911.60981
6407,513,18,4838.23081,3699.75844
3046,7152,18,8589.99284,193.38597
9149,5520,18,4644.57264,8472.80611
731,9611,18,2030.53867,4616.84078
20,656,19,2791.98544,2449.95011
950,3636,19,4361.92047,5894.78184
9627,5380,19,6310.40311,8465.22522
6634,2675,19,7185.81977,1662.33008
2679,8151,19,7828.26976,4781.60886
5276,5061,19,7622.09164,923.67195
7492,5249,19,5322.14408,4393.73137
